date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:11:05	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Jun%202022%2015:11:05%20GMT	https://bittrustsecure.com/robots.txt		(from )
16:11:06	75482/75482	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2015:11:05%20GMT	https://bittrustsecure.com/	C:/Users/WALTOSTIC/Desktop/bittrust/bittrustsecure/bittrustsecure.com/index.html	(from )
16:11:06	5088/5088	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Oct%202021%2023:59:20%20GMT	https://bittrustsecure.com/netema/images/favicon.png	C:/Users/WALTOSTIC/Desktop/bittrust/bittrustsecure/bittrustsecure.com/netema/images/favicon.png	(from https://bittrustsecure.com/)
16:11:07	121280/121280	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Oct%202021%2023:59:20%20GMT	https://bittrustsecure.com/netema/css/bootstrap.min.css	C:/Users/WALTOSTIC/Desktop/bittrust/bittrustsecure/bittrustsecure.com/netema/css/bootstrap.min.css	(from https://bittrustsecure.com/)
16:11:07	29273/29273	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Oct%202021%2023:59:20%20GMT	https://bittrustsecure.com/netema/css/jquery-ui.min.css	C:/Users/WALTOSTIC/Desktop/bittrust/bittrustsecure/bittrustsecure.com/netema/css/jquery-ui.min.css	(from https://bittrustsecure.com/)
16:11:08	88597/88597	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Oct%202021%2023:59:20%20GMT	https://bittrustsecure.com/netema/css/animate.css	C:/Users/WALTOSTIC/Desktop/bittrust/bittrustsecure/bittrustsecure.com/netema/css/animate.css	(from https://bittrustsecure.com/)
16:11:09	2403/2403	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Oct%202021%2023:59:20%20GMT	https://bittrustsecure.com/netema/css/menuzord-skins/menuzord-boxed.css	C:/Users/WALTOSTIC/Desktop/bittrust/bittrustsecure/bittrustsecure.com/netema/css/menuzord-skins/menuzord-boxed.css	(from https://bittrustsecure.com/)
16:11:09	294885/294885	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Oct%202021%2023:59:20%20GMT	https://bittrustsecure.com/netema/css/css-plugin-collections.css	C:/Users/WALTOSTIC/Desktop/bittrust/bittrustsecure/bittrustsecure.com/netema/css/css-plugin-collections.css	(from https://bittrustsecure.com/)
16:11:10	60670/60670	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Oct%202021%2023:59:20%20GMT	https://bittrustsecure.com/netema/css/preloader.css	C:/Users/WALTOSTIC/Desktop/bittrust/bittrustsecure/bittrustsecure.com/netema/css/preloader.css	(from https://bittrustsecure.com/)
16:11:10	184406/184406	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Oct%202021%2023:59:20%20GMT	https://bittrustsecure.com/netema/css/style-main.css	C:/Users/WALTOSTIC/Desktop/bittrust/bittrustsecure/bittrustsecure.com/netema/css/style-main.css	(from https://bittrustsecure.com/)
